DATE,SnowNLP_sent
2020-12-24,2.6470880345463854e-06
2020-12-28,0.4999926877007258
2020-12-29,4.1524561567030105e-11
2020-12-30,0.2932701333612467
2020-12-31,0.34859368810397595
2021-01-01,0.34135811159645624
2021-01-02,0.5024394578513015
2021-01-03,0.46089000961398136
2021-01-04,0.28600967129983496
2021-01-05,0.2812000433757417
2021-01-06,0.27195591038694267
2021-01-07,0.239074554828264
2021-01-08,0.262960584067348
2021-01-09,0.2694600496169764
2021-01-10,0.43917652207065366
2021-01-11,0.2940891737461757
2021-01-12,0.28419194712552076
2021-01-13,0.36369379014763475
2021-01-14,0.33385696847549345
2021-01-15,0.20890502032938477
2021-01-16,0.18523575916651472
2021-01-17,0.19244218293905785
2021-01-18,0.40252654075345873
2021-01-19,0.37066147780807984
2021-01-20,0.2695141018029624
2021-01-21,0.3131865906939922
2021-01-22,0.2698781339199707
2021-01-23,0.2720920305590035
2021-01-24,0.391940096702018
2021-01-25,0.2753176369576904
2021-01-26,0.2170626863109408
2021-01-27,0.2601224908319435
2021-01-28,0.2988011376042383
2021-01-29,0.1953157185363659
2021-01-30,0.36801555289186577
2021-01-31,0.31534946142657005
2021-02-01,0.1981456503434671
2021-02-02,0.25968807205470473
2021-02-03,0.302971501566002
2021-02-04,0.2760936616069813
2021-02-05,0.26919024369500516
2021-02-06,0.3312551629576281
2021-02-07,0.34424115002870165
2021-02-08,0.2847485475957527
2021-02-09,0.2936402154461319
2021-02-10,0.3082702163079479
2021-02-11,0.3374429512578794
2021-02-12,0.41022546835343704
2021-02-13,0.377500877177784
2021-02-14,0.4028891334953617
2021-02-15,0.21750581211704478
2021-02-16,0.2958336921896602
2021-02-17,0.34939881541468926
2021-02-18,0.374560839636647
2021-02-19,0.3152492371110267
2021-02-20,0.4214491099779813
2021-02-21,0.4428638350199881
2021-02-22,0.2607559073146983
2021-02-23,0.3091193192633675
2021-02-24,0.3402211788545111
2021-02-25,0.2994025116690427
2021-02-26,0.3842848563476385
2021-02-27,0.24621966758926203
2021-02-28,0.30443468045297406
2021-03-01,0.43798397525242383
2021-03-02,0.30589866583977937
2021-03-03,0.3055201508597096
2021-03-04,0.3407342842976132
2021-03-05,0.36678836619735616
2021-03-06,0.31549397557039477
2021-03-07,0.21641254195987253
2021-03-08,0.33721573485222933
2021-03-09,0.3513992964185414
2021-03-10,0.34216225963834485
2021-03-11,0.232746198988763
2021-03-12,0.342717777978128
2021-03-13,0.4406263156068269
2021-03-14,0.38168046726909305
2021-03-15,0.3150846844185524
